corte;bloco;geno;tph
1;1;G128;18,09
1;2;G128;13,5
1;3;G128;24,06
1;4;G128;14,72
1;1;G129;28,42
1;2;G129;
1;3;G129;38,07
1;4;G129;40,29
1;1;G130;34,75
1;2;G130;41,09
1;3;G130;22,76
1;4;G130;33,16
1;1;G131;24,27
1;2;G131;31,4
1;3;G131;10,4
1;4;G131;19,83
1;1;G132;3,25
1;2;G132;10,28
1;3;G132;13,72
1;4;G132;
1;1;G133;22,22
1;2;G133;11,74
1;3;G133;12,3
1;4;G133;27,6
1;1;G134;22,51
1;2;G134;21,42
1;3;G134;9,92
1;4;G134;29,46
1;1;G135;11,91
1;2;G135;14,35
1;3;G135;17,07
1;4;G135;24,49
1;1;G136;15,92
1;2;G136;20,34
1;3;G136;14,93
1;4;G136;14,75
1;1;G137;7,72
1;2;G137;11,93
1;3;G137;11,97
1;4;G137;29,94
1;1;G138;23,85
1;2;G138;25,65
1;3;G138;21,38
1;4;G138;22,38
1;1;G139;24,86
1;2;G139;28,87
1;3;G139;29,21
1;4;G139;38,58
1;1;G141;43,41
1;2;G141;20,06
1;3;G141;25,1
1;4;G141;41,18
1;1;G143;26,45
1;2;G143;12,44
1;3;G143;27,52
1;4;G143;37,38
1;1;G146;22,66
1;2;G146;30,49
1;3;G146;11,54
1;4;G146;17,06
1;1;G147;10,54
1;2;G147;11,77
1;3;G147;24,46
1;4;G147;25,02
1;1;G148;35,45
1;2;G148;49,51
1;3;G148;
1;4;G148;52,19
1;1;G151;31,54
1;2;G151;25,88
1;3;G151;20,68
1;4;G151;22,7
1;1;G153;28,72
1;2;G153;26,14
1;3;G153;18,36
1;4;G153;28,55
1;1;G154;39,95
1;2;G154;38,29
1;3;G154;
1;4;G154;36,06
1;1;G155;29,06
1;2;G155;54,77
1;3;G155;40,18
1;4;G155;41,01
1;1;G156;30,08
1;2;G156;13,64
1;3;G156;24,82
1;4;G156;25,17
1;1;G157;13,64
1;2;G157;19,37
1;3;G157;13,66
1;4;G157;26,45
1;1;G159;26,92
1;2;G159;
1;3;G159;36,87
1;4;G159;24,69
1;1;G160;41,67
1;2;G160;46,6
1;3;G160;46,73
1;4;G160;51,7
1;1;G162;29,66
1;2;G162;35,65
1;3;G162;37,92
1;4;G162;40,1
1;1;G164;30,07
1;2;G164;27,73
1;3;G164;25,98
1;4;G164;43,79
1;1;G165;39,58
1;2;G165;34,75
1;3;G165;
1;4;G165;47,21
1;1;G166;40,24
1;2;G166;28,35
1;3;G166;17,45
1;4;G166;49,03
1;1;G169;27,13
1;2;G169;15,1
1;3;G169;22,4
1;4;G169;34,26
1;1;G170;43,57
1;2;G170;26,98
1;3;G170;28,39
1;4;G170;37,39
1;1;G171;30,96
1;2;G171;21,26
1;3;G171;16,62
1;4;G171;49,28
1;1;G173;19,83
1;2;G173;19,28
1;3;G173;19,95
1;4;G173;24,51
1;1;G174;12,15
1;2;G174;13,27
1;3;G174;10,33
1;4;G174;14,3
1;1;G176;32,82
1;2;G176;42,21
1;3;G176;23,93
1;4;G176;33,48
1;1;G177;15,12
1;2;G177;30,81
1;3;G177;18,2
1;4;G177;34,77
1;1;G178;16,44
1;2;G178;25,62
1;3;G178;32,19
1;4;G178;31,05
1;1;G179;40,41
1;2;G179;33,24
1;3;G179;17,61
1;4;G179;32,05
1;1;G181;33,92
1;2;G181;42,68
1;3;G181;32,66
1;4;G181;28,65
1;1;G182;19,41
1;2;G182;45,76
1;3;G182;44,23
1;4;G182;41,8
1;1;G183;32,66
1;2;G183;33,03
1;3;G183;31,64
1;4;G183;28,62
1;1;G185;30,66
1;2;G185;32,68
1;3;G185;41,92
1;4;G185;30,37
1;1;G186;29,9
1;2;G186;29,21
1;3;G186;17,53
1;4;G186;39,25
1;1;G189;28,33
1;2;G189;15,41
1;3;G189;27,83
1;4;G189;37,86
1;1;G190;45,3
1;2;G190;34,36
1;3;G190;28,61
1;4;G190;
1;1;G191;44,05
1;2;G191;50,63
1;3;G191;45,1
1;4;G191;50,09
1;1;G192;46,43
1;2;G192;38,9
1;3;G192;29,45
1;4;G192;43,88
1;1;G193;42,23
1;2;G193;46,75
1;3;G193;26,74
1;4;G193;25,36
1;1;G194;13,36
1;2;G194;46,31
1;3;G194;23,21
1;4;G194;41,7
1;1;G195;31,98
1;2;G195;43,61
1;3;G195;31,58
1;4;G195;37,01
1;1;G196;34,52
1;2;G196;35,12
1;3;G196;37,78
1;4;G196;45,61
1;1;G197;17,81
1;2;G197;40,27
1;3;G197;28,39
1;4;G197;39,94
1;1;G205;14,06
1;2;G205;24,33
1;3;G205;20,68
1;4;G205;13,71
1;1;G206;24,03
1;2;G206;22,45
1;3;G206;8,38
1;4;G206;11,2
1;1;G207;19,82
1;2;G207;26,76
1;3;G207;22,84
1;4;G207;28,85
1;1;G208;23,65
1;2;G208;20,01
1;3;G208;16,14
1;4;G208;23,27
1;1;G209;20,67
1;2;G209;27,93
1;3;G209;22,64
1;4;G209;23,33
1;1;G210;18,28
1;2;G210;17,28
1;3;G210;5,72
1;4;G210;20,88
1;1;G211;6,68
1;2;G211;4,68
1;3;G211;11,53
1;4;G211;11,57
1;1;G212;23,38
1;2;G212;11,96
1;3;G212;28,98
1;4;G212;23,39
1;1;G213;20,75
1;2;G213;23,54
1;3;G213;25,65
1;4;G213;28,42
1;1;G214;31,07
1;2;G214;35,68
1;3;G214;
1;4;G214;29,21
1;1;G215;12,03
1;2;G215;32,94
1;3;G215;14,85
1;4;G215;32,05
1;1;G216;27,02
1;2;G216;26,25
1;3;G216;14,25
1;4;G216;27,63
1;1;G217;27,45
1;2;G217;24,27
1;3;G217;24,76
1;4;G217;24,85
1;1;G218;29,47
1;2;G218;10,62
1;3;G218;5,51
1;4;G218;18,85
1;1;G219;40,54
1;2;G219;49,16
1;3;G219;34,31
1;4;G219;37,37
1;1;G220;26,19
1;2;G220;26,55
1;3;G220;43,63
1;4;G220;33,06
1;1;G221;16,61
1;2;G221;36
1;3;G221;22,93
1;4;G221;31,5
1;1;G222;31,96
1;2;G222;52,38
1;3;G222;26,88
1;4;G222;43,35
1;1;G223;33,51
1;2;G223;29,56
1;3;G223;16,05
1;4;G223;36,44
1;1;G224;16,52
1;2;G224;29,47
1;3;G224;23,14
1;4;G224;30,47
1;1;G225;12,99
1;2;G225;9,18
1;3;G225;27,15
1;4;G225;25,12
1;1;G226;14,68
1;2;G226;27,12
1;3;G226;23,3
1;4;G226;31,32
