id;mom;dad
Amauritius;0;0
Badila;0;0
BandHitam;0;0
Batjan;0;0
BA6032;0;0
BJ66210;0;0
BJ6708;0;0
BJ6716;0;0
BJ7262;0;0
BJ7504;0;0
BlackCheribon;0;0
BR6488;0;0
B1379;0;0
B208;0;0
B359;0;0
B391;0;0
B3747;0;0
CAINSA;0;0
CB41-115;0;0
CB44-160;0;0
CB45-13;0;0
CB46-19;0;0
CB52-179;0;0
CB64-15;0;0
CB64-31;0;0
CB65-5;0;0
CB69-47;0;0
Chunnee;0;0
Coimbatore;0;0
CoJ67;0;0
CoSpontan1;0;0
CoSpontan2;0;0
Co1008;0;0
CP48-110;0;0
CP51-27;0;0
CP52-144;0;0
CP53-39;0;0
CP71-1086;0;0
CP71-1240;0;0
CP71-1270;0;0
CP71-1273;0;0
CP71-1449;0;0
CP73-1547;0;0
Crystalina;0;0
CTC9;0;0
CTC15;0;0
CTC9019;0;0
D109;0;0
F73-1253;0;0
F148;0;0
Gandacheni;0;0
Glagah;0;0
H35-385;0;0
H37-1932;0;0
H40-729;0;0
H40-1184;0;0
H49-4360;0;0
H51-8029;0;0
H59-1966;0;0
IACSP94-5072;0;0
IACSP98-3022;0;0
IJ76-314;0;0
IN84-58;0;0
KalBoothan;0;0
Kansar;0;0
Korpi;0;0
Lahaina;0;0
LAM76-628;0;0
Loethers;0;0
L77-42;0;0
Maneria;0;0
MEX53-137;0;0
MOL928;0;0
MQ33157;0;0
NA56-76;0;0
NA63-167;0;0
NA69-17;0;0
NA84-3920;0;0
NCo319;0;0
Nobre247B;0;0
OkinTekcha;0;0
PAV9409;0;0
PmRobustum;0;0
PO77-102;0;0
PO77-122;0;0
PO80-06;0;0
PO80-08;0;0
PO85-317;0;0
PO86-62;0;0
PO86-1107;0;0
PT43-52;0;0
Q165;0;0
RB7062;0;0
RB7072;0;0
RB70129;0;0
RB70134;0;0
RB70168;0;0
RB70194;0;0
RB70196;0;0
RB705051;0;0
RB705123;0;0
RB763411;0;0
RB773720;0;0
RB80134;0;0
RB814187;0;0
RB815606;0;0
RB825385;0;0
RB832910;0;0
RB835768;0;0
RB855126;0;0
RB855157;0;0
RB855318;0;0
RB855331;0;0
RB855566;0;0
RB865112;0;0
RB865131;0;0
RB865250;0;0
RB865251;0;0
RB865547;0;0
RB867502;0;0
RB867505;0;0
RB867524;0;0
RB876028;0;0
RB885007;0;0
RB885035;0;0
RB896342;0;0
RedFiji;0;0
RF72;0;0
R570;0;0
Saretha;0;0
SELF;0;0
SMaurit;0;0
S.Officin;0;0
S.Officin2;0;0
S.Officin3;0;0
S.Officin4;0;0
S.Officin5;0;0
S.Officin6;0;0
S.Officin7;0;0
S.Officin8;0;0
SP70-1462;0;0
SP71-5181;0;0
SP76-4092;0;0
SP77-0303;0;0
SP77-3024;0;0
SP77-3067;0;0
SP78-3081;0;0
SP78-5495;0;0
SP80-1090;0;0
