G128	RB721012
G129	RB72199
G130	RB72454
G131	RB725053
G132	RB725828
G133	RB732577
G134	RB735200
G135	RB735220
G136	RB735275
G137	RB739359
G138	RB739735
G139	RB75126
G141	RB785148
G143	RB806043
G146	RB815690
G147	RB825317
G148	RB825336
G151	RB83102
G153	RB835019
G154	RB835054
G155	RB835089
G156	RB835205
G157	RB835486
G159	RB845197
G160	RB845210
G162	RB845257
G164	RB855002
G165	RB855035
G166	RB855036
G169	RB855077
G170	RB855113
G171	RB855156
G173	RB855206
G174	RB855350
G176	RB855453
G177	RB855463
G178	RB855465
G179	RB855511
G181	RB855536
G182	RB855546
G183	RB855563
G185	RB855589
G186	RB855595
G189	RB867515
G190	RB925211
G191	RB925268
G192	RB925345
G193	RB92579
G194	RB935744
G195	RB965902
G196	RB965917
G197	RB966928
G205	SP70-1005
G206	SP70-1078
G207	SP70-1143
G208	SP70-1284
G209	SP70-1423
G210	SP70-3370
G211	SP71-1406
G212	SP71-6949
G213	SP71-799
G214	SP72-4928
G215	SP77-5181
G216	SP79-1011
G217	SP79-2233
G218	SP79-2312
G219	SP79-2313
G220	SP79-6192
G221	SP80-1520
G222	SP80-1816
G223	SP80-1836
G224	SP80-1842
G225	SP80-185
G226	SP80-3280
G227	SP81-1763
G228	SP81-3250
G229	SP83-2847
G230	SP83-5073
G232	SP89-1115
G233	SP91-1049
